Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67e30428fe2bdd1d4b6650b1,6753746b1f8827e2bd586bf0,APPROVED,Not Applicable,2025-03-25T19:30:32.124000Z,2025-03-25T19:48:21.968000Z,2025-03-25T19:52:37.048000Z,2025-03-25T19:48:22.969357Z,1070.0,CYZTAQI1,334,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67e30441d532f2ddf377079d,602c7d31733e6a57dda83b9d,RETURNED,Not Applicable,2025-03-25T19:30:15.375000Z,,,2025-03-25T23:11:24.498559Z,,,4617,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67e304436db32c70ce7db5d6,6413a4a1a6e064ffb173f1ce,APPROVED,Not Applicable,2025-03-25T19:32:16.716000Z,2025-03-25T19:55:28.797000Z,2025-03-25T19:56:20.013000Z,2025-03-25T19:55:29.753176Z,1393.0,CYZTAQI1,1370,English,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e304921d9e6c1ce888b309,5a4a93ab35c9d50001fdd082,APPROVED,Not Applicable,2025-03-25T19:31:47.818000Z,2025-03-25T19:50:45.544000Z,2025-03-25T19:52:37.414000Z,2025-03-25T19:50:55.347373Z,1138.0,NOCODE,2232,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e3049d2b430cfd7d0104bc,5da09f733c3367001a72dec6,APPROVED,Not Applicable,2025-03-25T19:31:48.908000Z,2025-03-25T19:49:01.443000Z,2025-03-25T19:52:37.772000Z,2025-03-25T19:49:02.420638Z,1033.0,CYZTAQI1,1676,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67e3055f5a91bfff2c761761,5f160514e2a4062d2a0ded58,APPROVED,Not Applicable,2025-03-25T19:35:16.245000Z,2025-03-25T19:52:23.187000Z,2025-03-25T19:52:50.979000Z,2025-03-25T19:52:23.962533Z,1027.0,CYZTAQI1,2511,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67e305610ba5f0a6bb6081ac,6658b1b0d96a48e41e7e971a,APPROVED,Not Applicable,2025-03-25T19:35:11.314000Z,2025-03-25T19:55:09.904000Z,2025-03-25T19:56:25.106000Z,2025-03-25T19:55:11.030136Z,1199.0,CYZTAQI1,483,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67e305a55070686aff7e36c0,5a5c871aac5624000153f89e,APPROVED,Not Applicable,2025-03-25T19:36:14.122000Z,2025-03-25T19:58:12.366000Z,2025-03-25T20:04:16.524000Z,2025-03-25T19:58:13.131147Z,1319.0,CYZTAQI1,1611,English,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e305f642cc1627c1e98488,66cc45098cbfd31478519096,RETURNED,Not Applicable,2025-03-25T19:37:42.861000Z,,,2025-03-25T23:11:24.474079Z,,,137,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67e306cf0f24ed0e5f3cd589,6776e67290c24dfe448b5f2d,RETURNED,Not Applicable,2025-03-25T19:41:27.811000Z,,,2025-03-25T23:11:24.489652Z,,,174,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67e306d672a7917111d3ad89,5c5d36bc034e280001644c3b,APPROVED,Not Applicable,2025-03-25T19:41:17.826000Z,2025-03-25T20:01:29.370000Z,2025-03-25T20:04:19.669000Z,2025-03-25T20:01:30.248246Z,1212.0,CYZTAQI1,3385,English,57,Female,Asian,Zimbabwe,United Kingdom,United Kingdom,English,No,Full-Time
