Status,Started at,Completed at,Time taken,Total approvals,Age,Sex,Ethnicity simplified,Country of residence,Language
APPROVED,2023-07-14T15:31:44.125000Z,2023-07-14T16:05:58.694000Z,2055,964,30,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:33:59.535000Z,2023-07-14T15:45:42.708000Z,704,241,30,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:03.029000Z,2023-07-14T15:44:10.669000Z,728,975,26,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:05.111000Z,2023-07-14T16:04:04.870000Z,1920,1499,33,Male,Black,United Kingdom,English
APPROVED,2023-07-14T15:32:01.095000Z,2023-07-14T15:39:19.843000Z,439,1350,39,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:32:04.996000Z,2023-07-14T15:43:58.288000Z,714,1041,74,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:03.140000Z,2023-07-14T15:42:48.905000Z,646,904,73,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:14.324000Z,2023-07-14T15:39:51.267000Z,457,373,23,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:32:30.360000Z,2023-07-14T15:42:47.826000Z,618,181,33,Male,White,Canada,English
APPROVED,2023-07-14T15:32:17.271000Z,2023-07-14T15:41:13.988000Z,537,217,51,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:17.459000Z,2023-07-14T15:39:52.058000Z,455,1558,33,Male,Asian,United Kingdom,English
APPROVED,2023-07-14T15:32:24.616000Z,2023-07-14T16:28:11.897000Z,3348,244,68,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:24.901000Z,2023-07-14T15:38:36.263000Z,372,328,41,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:21.740000Z,2023-07-14T15:39:06.403000Z,405,658,29,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:23.731000Z,2023-07-14T15:46:20.445000Z,837,388,34,Male,Black,United Kingdom,English
APPROVED,2023-07-14T15:39:33.225000Z,2023-07-14T15:50:10.772000Z,638,865,41,Male,White,Canada,English
APPROVED,2023-07-14T15:32:31.195000Z,2023-07-14T15:47:50.202000Z,920,575,42,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:31.777000Z,2023-07-14T15:40:09.784000Z,459,1285,23,Male,Asian,United States,English
APPROVED,2023-07-14T15:32:57.121000Z,2023-07-14T15:42:21.193000Z,565,987,40,Male,White,Canada,English
APPROVED,2023-07-14T15:32:54.896000Z,2023-07-14T15:51:03.790000Z,1089,196,39,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:54.830000Z,2023-07-14T15:43:07.915000Z,614,1337,56,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:55.209000Z,2023-07-14T15:42:34.834000Z,580,100,22,Male,White,Italy,English
APPROVED,2023-07-14T15:33:16.408000Z,2023-07-14T15:40:55.255000Z,459,782,25,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:33:15.727000Z,2023-07-14T15:42:49.756000Z,575,206,21,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:33:22.556000Z,2023-07-14T15:40:37.133000Z,435,189,31,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:33:16.713000Z,2023-07-14T15:43:11.373000Z,595,157,20,Male,White,Portugal,English
APPROVED,2023-07-14T15:33:19.540000Z,2023-07-14T15:42:35.090000Z,556,1404,35,Male,Asian,United Kingdom,English
RETURNED,2023-07-14T15:33:18.509000Z,2023-07-14T15:46:02.963000Z,,1756,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
APPROVED,2023-07-14T15:33:44.335000Z,2023-07-14T15:42:18.610000Z,515,938,36,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:33:45.194000Z,2023-07-14T15:46:17.008000Z,752,548,60,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:35:10.849000Z,2023-07-14T15:54:35.067000Z,1165,698,35,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:39:10.215000Z,2023-07-14T15:51:20.166000Z,730,208,28,Male,Black,United Kingdom,English
APPROVED,2023-07-14T15:40:00.287000Z,2023-07-14T15:48:23.773000Z,504,1361,33,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:40:47.161000Z,2023-07-14T15:48:09.053000Z,442,1117,30,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:43:13.476000Z,2023-07-14T15:52:47.222000Z,574,335,38,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:46:52.889000Z,2023-07-14T15:57:55.196000Z,663,309,46,Male,White,United Kingdom,English
APPROVED,2023-07-14T16:15:28.563000Z,2023-07-14T16:25:13.597000Z,586,531,21,Female,White,United Kingdom,English
APPROVED,2023-07-14T16:30:20.699000Z,2023-07-14T16:42:05.949000Z,706,391,59,Female,White,United Kingdom,English
